尝试连接考勤机...
状态更新: ??? ??????
状态更新: ???? ???????
状态更新: ?????
Firmware Version: Ver 6.60 Oct 12 2021
状态更新: ?????
考勤机连接成功！

获取员工信息...
状态更新: ??? ???????
状态更新: ?????
状态更新: ??? ????
状态更新: ??? ??????
状态更新: ???? ???????
状态更新: ?????
Firmware Version: Ver 6.60 Oct 12 2021
状态更新: ?????
员工信息：
  工号: 306440, 姓名: 杨光晴, 权限: 0, 是否启用: true
  工号: 306441, 姓名: 刘垚, 权限: 0, 是否启用: true
  工号: 306442, 姓名: 岳琪迪, 权限: 0, 是否启用: true

获取考勤数据...
状态更新: ??? ???????
状态更新: ?????
状态更新: ??? ????
状态更新: ??? ??????
状态更新: ???? ???????
状态更新: ?????
Firmware Version: Ver 6.60 Oct 12 2021
状态更新: ?????
考勤数据：
  工号: 1, 操作: OUT, 时间: 2026-03-17 21:59:00
  工号: 12855, 操作: IN, 时间: 2000-01-01 00:00:00
  工号: 12855, 操作: IN, 时间: 2000-01-01 00:00:00
  工号: 12855, 操作: IN, 时间: 2000-01-01 00:13:00
  工号: 46428, 操作: OUT, 时间: 2000-01-01 00:08:00
  工号: 12855, 操作: IN, 时间: 2000-01-01 00:00:00
  工号: 2, 操作: OUT, 时间: 2026-03-17 21:59:00
  工号: 12855, 操作: IN, 时间: 2000-01-01 00:00:00
  工号: 12855, 操作: IN, 时间: 2000-01-01 00:00:00
  工号: 12855, 操作: IN, 时间: 2000-01-01 00:14:00
  工号: 46429, 操作: OUT, 时间: 2000-01-01 00:08:00
  工号: 12855, 操作: IN, 时间: 2000-01-01 00:00:00
  工号: 3, 操作: OUT, 时间: 2026-03-17 21:59:00
  工号: 12855, 操作: IN, 时间: 2000-01-01 00:00:00
  工号: 12855, 操作: IN, 时间: 2000-01-01 00:00:00
  工号: 12855, 操作: IN, 时间: 2000-01-01 00:14:00
  工号: 47414, 操作: OUT, 时间: 2000-01-01 00:08:00
  工号: 12855, 操作: IN, 时间: 2000-01-01 00:00:00
  工号: 4, 操作: OUT, 时间: 2026-03-17 21:59:00
  工号: 12855, 操作: IN, 时间: 2000-01-01 00:00:00
